Company,Flight number,Dead,Survivors
JAT,367,27,1
Mohawk Airlines,405,16,32
East African Airways,720,43,67
Japan Airlines,471,82,5
Prinair,191,5,15
Pacific Southwest Airlines,710,3,81
Uruguayan Air Force,571,29,16
Olympic Airways,506,37,16
Air Inter,696Y,60,8
Japan Air Lines,446,62,14
United Airlines,553,43,17
Braathens SAFE,239,40,5
Eastern Air Lines,401,101,75
Aeroflot,5003,77,21
KLM / Pan Am,4805 / 1736,583,61
Southern Airways,242,63,22
Aeroflot,331,67,2
Aeroflot,B-2,39,1
Malév,203,29,24
Japan Airlines,715,34,45
Vietnam Civil Aviation,509,2,34
TAP Portugal,425,131,33
Austral Líneas Aéreas,9,46,33
SA de Transport Aérien,730,36,21
Alia Royal Jordanian Airlines,600,44,20
Aeroflot,1691,58,61
Quebecair,255,17,7
Downeast,46,17,1
Dan-Air,0034,17,27
Swissair,316,14,140
Western Airlines,2605,72,16
CAAC,5109,38,3
Galaxy Airlines,203,70,1
Aeroflot,7841,58,22
Delta Air Lines,191,136,27
Japan Air Lines,123,520,4
British Airtours,28M,55,82
EgyptAir,648,58,29
Trans World Airlines,840,4,117
Air Lanka,512,21,127
Aeroflot,2306,54,38
Aeroflot,36075,3,80
Aeroflot,6502,70,24
Aeroflot,892,74,8
Iraqi Airways,163,63,43
Aeroflot,699,11,135
Trans-Colorado Airlines,2286,9,8
Aeroflot,29674,27,4
Aeroflot,3739,9,75
Kuwait Airways,422,2,110
Aloha Airlines,243,1,94
Air France,296,3,127
CAAC,301,7,82
Delta Air Lines,1141,14,92
Vietnam Airlines,831,76,14
Ethiopian Airlines,604,35,69
Shanxi Airlines,4218,44,2
Uganda Airlines,775,33,19
Indian Airlines,113,133,2
British Midland Airways,092,47,79
United Airlines,811,9,346
Air Ontario,1363,24,45
Surinam Airways,764,176,11
Interflug,102,21,92
United Airlines,232,112,184
Korean Air,803,75,124
Varig,254,12,42
TAN-SAHSA,414,131,15
Aeroflot,37577,32,8
USAir,1493,23,66
LAN Chile,1069,20,52
Air Tahiti,805,10,12
Air Inter,148,87,9
USAir,405,27,24
China General Aviation,7552,108,18
Vietnam Airlines,474,30,1
Martinair,495,54,238
Libyan Arab Airlines,1103,157,2
China Airlines,140,264,7
Air Mauritanie,625,80,13
USAir,1016,37,20
Flagship Airlines,3379,15,3
Turkish Airlines,278,57,12
Formosa Airlines,7613,6,11
Garuda Indonesia,865,3,272
Delta Air Lines,1288,2,140
Ethiopian Airlines,961,125,50
Formosa Airlines,7613,6,11
Garuda Indonesia,865,3,272
Delta,1288,2,140
Ethiopian Airlines,961,125,50
Dirgantara Air Service,5940,16,1
American Airlines,1420,11,128
China Airlines,642,3,312
Uni Air,873,1,99
LAPA,3142,65,38
Edinburgh Air Charter,3W,8,3
Britannia Airways,226A,1,42
Cubana de Aviación,1216,18,296
Indian Airlines,814,1,99
Avisto,360,22,19
Kenya Airways,431,169,10
Alliance Air,7412,55,3
Southwest Airlines,1763,1,141
Lao Aviation,703,8,9
Singapore Airlines,6,83,96
Vnukovo Airlines,2806,3,168
Binter Mediterráneo,8261,4,39
TAM Airlines,9755,1,87
ELK Airways,1007,2,15
Crossair,3597,24,9
Garuda Indonesia,421,1,59
Air China,129,129,37
EAS Airlines,4226,73,4
EgyptAir,843,14,48
Prestige Airlines,707,28,2
Pulkovo Aviation Enterprise,9560,14,2
Rico Linhas Aéreas,4823,23,8
Laoag International Airlines,585,19,15
Regional Airlines,9288,28,24
West Caribbean Airways,9955,9,5
Tuninter,1153,16,21
TANS Perú,204,40,46
Mandala Airlines,091,155,6
Sosoliso Airlines,1145,108,2
S7 Airlines,778,125,78
Comair,5191,49,1
Iran Airtour,945,28,120
Atlantic Airways,670,4,12
ADC Airlines,053,96,9
TACA,390,5,85
Sudan Airways,109,30,184
Spanair,5022,154,18
Iran Aseman Airlines,6895,65,25
Sriwijaya Air,062,1,25
Yeti Airlines,103,18,1
Turkish Airlines,1951,9,126
Yemenia,626,152,1
Aria Air,1525,16,157
Bangkok Airways,266,1,71
Airlink,8911,1,15
Afriqiyah Airways,771,103,1
Air India Express,812,158,8
Katekavia,9357,12,3
AIRES,8250,2,129
Henan Airlines,8387,44,52
Conviasa,2350,17,34
Dagestan Airlines,372,2,158
South Airlines,8971,5,47
Polar Airlines,9949,24,4
Asiana Airlines,214,3,304
Associated Aviation,361,16,4
MASwings,3002,2,14
Aerocon,25,8,10
Pakistan International Airlines,756,1,189
TransAsia Airways,222,48,10
Sepahan Airlines,5915,40,8
TransAsia Airways,235,43,15
US-Bangla Airlines,211,51,20
Southwest Airlines,1380,1,184
Cubana de Aviación,972,112,1
UTair,579,1,174
Air Niugini,73,1,45
Fly Jamaica Airways,256,1,160
Saha Airlines,707,15,1
Aeroflot,1492,41,37
Angara Airlines,200,2,43
PenAir,3296,1,41
Bek Air,2100,13,85
